negative bigrams,associated rating
,
no mean,5
no complaint,5
not bad,5
not broken,5
no complaint,4
,
,
not disappointed,4
no complaint,5
,
,
not tough,3
no complaint,5
,
not disappointed,5
,
no complaint,5
not irritating,5
not disappointed,5
,
not bad,4
,
,
no complaint,5
not terrible,5
,
,
,
,
nothing bad,5
not bad,5
nothing negative,5
no complaint,5
,
,
nothing bad,5
no complaint,5
,
no complaint,5
no trouble,5
nothing bad,5
no complaint,5
not disappointed,5
,
no complaint,5
no complaint,4
not bad,3
not complicated,5
no complaint,5
,
not disappointed,4
not disappointed,4
,
not least,5
not bad,5
not bad,4
,
not hard,5
no complaint,5
not complicated,5
not broken,5
not slow,5
not bad,3
,
not impossible,4
not waste,5
no complaint,5
not small,5
no complaint,5
not disappointed,4
,
no trouble,5
not disappointed,5
,
nothing bad,5
not failed,5
not disappointed,5
no complaint,5
not disappointed,5
,
no complaint,5
not disappointed,5
not complicated,5
,
no complaint,5
nothing negative,5
,
not disappointed,5
,
not disappointed,5
,
no complaint,4
not disappointed,5
nothing negative,5
,
not disappointed,5
nothing bad,5
,
not disappointed,5
not disappointed,5
nothing wrong,5
,
no trouble,5
no complaint,5
not disappointed,5
not failed,5
,
phonenothing bad,5
no bad,5
no complaint,5
not disappointed,5
,
not disappointed,5
,
nothing wrong,5
not disappointed,5
not bad,3
,
no complaint,5
,
nothing badly,5
,
no complaint,5
not failed,5
not disappointed,5
not failed,5
,
,
no complaint,5
not disappointed,5
no complaint,5
not disappointed,5
not disappointed,5
not waste,5
,
not slow,5
,
not bad,4
not disappointed,5
not expected,5
not missing,5
,
no annoying,5
no complaint,5
,
no other,4
no complaint,5
no trouble,5
not disappointed,5
no other,5
,
not mad,3
no complaint,5
not disappointed,4
no annoying,4
no complaint,5
no mean,4
no complaint,5
not bad,5
,
,
,
,
,
not disappointed,5
not disappointed,5
,
no complaint,5
,
not slow,5
not disappointed,5
,
,
nothing wrong,5
no complaint,5
not mean,2
,
,
,
no complaint,5
no average,3
not least,2
not broken,5
no other,2
nothing wrong,1
nothing wrong,5
,
not disappointed,5
no trouble,5
,
nothing wrong,3
not Other,4
no complaint,5
no complaint,5
,
no disappointment,5
nothing bad,5
no bad,5
no complaint,5
no complaint,5
